Label;Part Type;mn;mpn;part number;
.22;Ceramic Capacitor;;;;
100k;100kΩ Resistor;;;;
100Klfo;Rotary Potentiometer (Small);;;;
100Km1;Rotary Potentiometer (Small);;;;
100Km2;Rotary Potentiometer (Small);;;;
100Kmx;Rotary Potentiometer (Small);;;;
100Kosc;Rotary Potentiometer (Small);;;;
100Kx1;Rotary Potentiometer (Small);;;;
100Kx2;Rotary Potentiometer (Small);;;;
100n;Ceramic Capacitor;;;;
10Kflt;Rotary Potentiometer (Small);;;;
10shape;Rotary Potentiometer (Small);;;;
10uf;Electrolytic Capacitor;;;;
1K;1kΩ Resistor;;;;
1uf;Electrolytic Capacitor;;;;
1uf;Electrolytic Capacitor;;;;
1uf;Electrolytic Capacitor;;;;
220o;220Ω Resistor;;;;
330o;330Ω Resistor;;;;
4.7k;4.7kΩ Resistor;;;;
4.7k;4.7kΩ Resistor;;;;
4.7k;4.7kΩ Resistor;;;;
4.7k;4.7kΩ Resistor;;;;
4.7k;330Ω Resistor;;;;
4.7k;4.7kΩ Resistor;;;;
4.7k3;4.7kΩ Resistor;;;;
40106;40106;;;;
4040;CD4040E;;;;
47nf;Ceramic Capacitor;;;;
68nf;Ceramic Capacitor;;;;
J1;Generic female header - 5 pins;;;;
J2;Generic female header - 5 pins;;;;
j40;Generic female header - 6 pins;;;;
j40;Generic female header - 2 pins;;;;
j41;Generic female header - 4 pins;;;;
Jamp;Generic female header - 2 pins;;;;
Jled;Generic female header - 3 pins;;;;
jlfo;Generic female header - 2 pins;;;;
Jm1;Generic female header - 3 pins;;;;
Jm2;Generic female header - 3 pins;;;;
Josc;Generic female header - 3 pins;;;;
Jx1;Generic female header - 2 pins;;;;
Jx2;Generic female header - 2 pins;;;;
Jxs;Generic female header - 2 pins;;;;
LDR;Photocell (LDR);;;;
LED2;White (8000K) LED;;;;
LED3;White (8000K) LED;;;;
out;Piezo Speaker;;;;
Power plug1;Power plug;;;;
TRS1;Audio Jack (TRS) 3.5mm;;;;
VCC1;Battery;;;;
XR2206;XR2206;;;;

Amount;Part Type;mn;mpn;part number;
1;100kΩ Resistor;;;;
1;1kΩ Resistor;;;;
1;220Ω Resistor;;;;
2;330Ω Resistor;;;;
6;4.7kΩ Resistor;;;;
1;40106;;;;
1;Audio Jack (TRS) 3.5mm;;;;
1;Battery;;;;
1;CD4040E;;;;
4;Ceramic Capacitor;;;;
4;Electrolytic Capacitor;;;;
6;Generic female header - 2 pins;;;;
4;Generic female header - 3 pins;;;;
1;Generic female header - 4 pins;;;;
2;Generic female header - 5 pins;;;;
1;Generic female header - 6 pins;;;;
1;Photocell (LDR);;;;
1;Piezo Speaker;;;;
1;Power plug;;;;
9;Rotary Potentiometer (Small);;;;
2;White (8000K) LED;;;;
1;XR2206;;;;
